"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"KIROLENE",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x8832111268499412505?setLang=es-ES"",""DisplayName"":""Kirolene"",""Address"":{""Street"":""Calle San Ignazio, 5"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.173,""Longitude"":-2.63648}}","946.550.743","015667aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63648 43.173)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MARISTAK DURANGO BATXILERGOA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x1390121556983661441?setLang=es-ES"",""DisplayName"":""Maristak Durango Ikastetxea"",""Address"":{""Street"":""Calle de Juan Antonio Abasolo 6"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1709,""Longitude"":-2.63428}}","946.810.058","info@maristak.com",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63428 43.1709)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MAIZTEGI",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521285635?setLang=es-ES"",""DisplayName"":""Maiztegi Herri Eskola"",""Address"":{""Street"":""Calle Olaburu, 17"",""City"":""Iurreta"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48215"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1775,""Longitude"":-2.63542}}","946.810.937","014938aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63542 43.1775)","CESAR ENRIQUE PINARGOTE GAVILANES"
"IURRETA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x524014957?setLang=es-ES"",""DisplayName"":""IURRETA GLHB INSTITUTUA"",""Address"":{""Street"":""CALLE OLABURU 19"",""City"":""Iurreta"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48215"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1779,""Longitude"":-2.63599}}","944.668.800","014950aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63599 43.1779)","CESAR ENRIQUE PINARGOTE GAVILANES"
"JUAN OROBIOGOITIA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521239268?setLang=es-ES"",""DisplayName"":""OROBIOGOITIA"",""Address"":{""Street"":""Olaburu, 3"",""City"":""Iurreta"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48215"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1768,""Longitude"":-2.6351}}","944.288.000","015090aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.6351 43.1768)","CESAR ENRIQUE PINARGOTE GAVILANES"
"IURRETAKO HAURRESKOLA-ETORKIZUNA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521053015?setLang=es-ES"",""DisplayName"":""Haurreskolak"",""Address"":{""Street"":""5,Calle De Olaburu"",""City"":""Iurreta"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48215"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1762,""Longitude"":-2.63556}}","946.200.937","iurreta.iurreta@haurreskolak.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.63556 43.1762)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MAÑARIAKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4371050729191921179?setLang=es-ES"",""DisplayName"":""Escuela Infantil Mañaria / Mañariko Haurreskola"",""Address"":{""Street"":""Herriko 2"",""City"":""Mañaria"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48212"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1383,""Longitude"":-2.66126}}","946.218.308","manaria.manaria@haurreskolak.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.66126 43.1383)","CESAR ENRIQUE PINARGOTE GAVILANES"
"DURANGO",,"[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+Laubideta%2c+6&locality=Abadi%c3%b1o-Zelaieta&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48220&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de Laubideta, 6"",""Address"":{""Street"":""Calle de Laubideta, 6"",""City"":""Abadiño-Zelaieta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.212.095","olhui-zuzendaritza@durango-udala.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"BARTOLOME ERTZILLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6692x113852728?setLang=es-ES"",""DisplayName"":""Escuela de Música y Conservatorio de Grado Medio Bartolome Ertzilla"",""Address"":{""Street"":""AVENIDA MONTEVIDEO 7"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1698,""Longitude"":-2.6301}}","946.030.035","bertzilla@durango.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.6301 43.1698)","CESAR ENRIQUE PINARGOTE GAVILANES"
"DURANGO",,"[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+Zubiaurrea%2c+1&locality=Durango&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48200&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de Zubiaurrea, 1"",""Address"":{""Street"":""Calle de Zubiaurrea, 1"",""City"":""Durango"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.203.342","015054aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"IBAIZABAL KOOP. E. IKASTOLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x10633628529713530239?setLang=es-ES"",""DisplayName"":""IBAIZABAL IKASTOLA"",""Address"":{""Street"":""Intxaurrondo, 54"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1612,""Longitude"":-2.63052}}","946.215.877","idazkaritza@ibaizabalikastola.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63052 43.1612)","CESAR ENRIQUE PINARGOTE GAVILANES"
"CEPA DURANGO",,"[""Mujeres"",""Hombres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x10655712317643214476?setLang=es-ES"",""DisplayName"":""Centro de Educacion Permanente de Adultos de Durango"",""Address"":{""Street"":""Laubideta Kalea, 6"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1641,""Longitude"":-2.62875}}","946.814.253","014248aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Personas adultas""]","Local","Point (-2.62875 43.1641)","CESAR ENRIQUE PINARGOTE GAVILANES"
"KURUTZIAGA IKASTOLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x16965294851339251777?setLang=es-ES"",""DisplayName"":""Kurutziaga Ikastola"",""Address"":{""Street"":""13,Calle De Galtzareta"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.167,""Longitude"":-2.63604}}","946.200.822","durango@kurutziagaikastola.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63604 43.167)","CESAR ENRIQUE PINARGOTE GAVILANES"
"NEVERS IKASTETXEA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x10003687278950967883?setLang=es-ES"",""DisplayName"":""Nevers Ikastetxea"",""Address"":{""Street"":""Bruno Mauricio Zabala Kalea, 6"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1675,""Longitude"":-2.63568}}","946.810.946","durango@neversikastetxea.com",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63568 43.1675)","CESAR ENRIQUE PINARGOTE GAVILANES"
"SAN ANTONIO IKASTETXEA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9172060117277025092?setLang=es-ES"",""DisplayName"":""San Antonio Ikastetxea"",""Address"":{""Street"":""Plaza Balbino Garitaonaindia, 3, BAJO"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1656,""Longitude"":-2.631}}","946.816.776","ikastetxea@sanantonio.eus",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.631 43.1656)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MARISTAK DURANGO",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x1390121556983661441?setLang=es-ES"",""DisplayName"":""Maristak Durango Ikastetxea"",""Address"":{""Street"":""Calle de Juan Antonio Abasolo 6"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1709,""Longitude"":-2.63428}}","946.810.058","san-jose@maristak.com",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.63428 43.1709)","CESAR ENRIQUE PINARGOTE GAVILANES"
"SAN JOSE-JESUITAK",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521457483?setLang=es-ES"",""DisplayName"":""San Jose Jesuitak Ikastetxea Durango"",""Address"":{""Street"":""C/ Kurutziaga, 1"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.168,""Longitude"":-2.62956}}","946.810.050","sanjose@durangojesuitak.org",,,"[""Durango""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.62956 43.168)","CESAR ENRIQUE PINARGOTE GAVILANES"
"LANDAKO ESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4372747423493631954?setLang=es-ES"",""DisplayName"":""LANDAKO ESKOLA"",""Address"":{""Street"":""C/ Murueta Torre, 20"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1725,""Longitude"":-2.62877}}","944.280.174","014242aa@hezkuntza.net",,,"[""Durango""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.62877 43.1725)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Anitzak","Asesoramiento, poniendo a las personas que necesitan ayuda en contacto con otras AASS. Activismo: en manifestaciones y eventos que velan por los derechos LGBTIQ+","[""Género e identidad""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/localentities/10554991-e116-e01c-7879-692696fefa05?setLang=es-ES"",""DisplayName"":""Bilbao"",""Address"":{""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.257,""Longitude"":-2.9235}}","644.494.838","anitzakbilbao@gmail.com",,"Al no tener sede física, la comunicación tiene que ser telemática.","[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Asociación""]","[""Juventud"",""Personas migrantes""]","Provincial","Point (-2.9235 43.257)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Etxebarri-Bekoa",,"[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668639178141728769?setLang=es-ES"",""DisplayName"":""Erbera o San Andres"",""Address"":{""City"":""Erbera o San Andres"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48277"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2541,""Longitude"":-2.4774}}","94.494.712",,,,"[""Markina""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.4774 43.2541)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Asociación Tercera Edad - Zornotza",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN4517E3643A3091FB?setLang=es-ES"",""DisplayName"":""Centro Nafarroa Bienestar Social"",""Address"":{""Street"":""Calle de Nafarroa"",""City"":""Amorebieta-Etxano"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48340"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2187,""Longitude"":-2.73381}}",,,,,"[""Amorebieta""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.73381 43.2187)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Hirugarren Adina Kanpape - Ziortza-Bolibar",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6A1F2FADC3CA06AB?setLang=es-ES"",""DisplayName"":""Kanpape Taberna Jatetxea"",""Address"":{""Street"":""Calle de Domingo Ugartetxea 2"",""City"":""Ziortza-Bolibar"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48278"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2495,""Longitude"":-2.54868}}",,,,,"[""Markina""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.54868 43.2495)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Nagusien Etxea - Zaldibar",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN31764CF576C7FA3D?setLang=es-ES"",""DisplayName"":""Zaldibarko Jubilatuen Etxea"",""Address"":{""Street"":""Calle de Olazar"",""City"":""Zaldibar"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48250"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1697,""Longitude"":-2.54661}}","946.225.027",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.54661 43.1697)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Antiguako Ama - Ondarroa",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN82637E88FB38DF16?setLang=es-ES"",""DisplayName"":""Antiguako Ama Ondarroa"",""Address"":{""Street"":""Calle de Kamiñazpi 13"",""City"":""Ondárroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3213,""Longitude"":-2.43219}}","946.134.297",,,,"[""Ondarroa""]",,,,"Point (-2.43219 43.3213)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Nuestra Señora de Erdoiza - Izurtza",,"[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668643247489024001?setLang=es-ES"",""DisplayName"":""Izurtza"",""Address"":{""City"":""Izurtza"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1514,""Longitude"":-2.6507}}",,,,,"[""Durango""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.6507 43.1514)","CESAR ENRIQUE PINARGOTE GAVILANES"
